Wall time,Step,Value
1713337479.1862319,62400,32.55448532104492
1713337538.3257952,62600,33.00129699707031
1713337656.510105,63000,32.51914596557617
1713337686.020455,63100,30.27385711669922
1713337744.9782777,63300,33.787437438964844
1713337804.0947578,63500,33.39577865600586
1713337922.168512,63900,28.916044235229492
1713338010.6677418,64200,32.028690338134766
1713338040.2100635,64300,31.044557571411133
1713338099.1841679,64500,31.234416961669922
1713338128.6999326,64600,30.54875373840332
1713338158.3286638,64700,29.141586303710938
1713338187.8488803,64800,31.615198135375977
1713338217.3390305,64900,29.57552146911621
1713338246.865459,65000,32.06678771972656
1713338276.3900242,65100,29.2171688079834
1713338306.0761669,65200,30.184898376464844
1713338335.5887704,65300,31.656295776367188
1713338453.7714198,65700,32.538963317871094
1713338483.3109343,65800,31.437999725341797
1713338542.287394,66000,32.827293395996094
1713338601.3681927,66200,32.15591049194336
1713338689.983428,66500,32.52373504638672
1713338748.9551697,66700,33.64639663696289
1713338778.4689598,66800,32.832027435302734
1713338807.9638085,66900,31.839553833007812
1713338896.5818038,67200,32.29165267944336
1713338926.1037493,67300,31.255611419677734
1713338955.7413158,67400,31.205293655395508
1713338985.2322798,67500,32.2486686706543
1713339014.7519069,67600,29.936111450195312
1713339073.684616,67800,31.760848999023438
1713339103.2593153,67900,31.933162689208984
1713339132.7370899,68000,31.592994689941406
1713339191.6587086,68200,29.114391326904297
1713339221.1959405,68300,30.647357940673828
1713339250.6572592,68400,30.911174774169922
1713339280.1032703,68500,32.30052947998047
1713339309.5332677,68600,29.840803146362305
1713339339.01274,68700,33.04092025756836
1713339398.1515424,68900,31.29247283935547
1713339427.6637747,69000,28.970441818237305
1713339516.3578954,69300,32.974456787109375
1713339634.4370346,69700,28.965248107910156
1713339722.6666224,70000,32.5447883605957
1713339752.2499213,70100,31.224763870239258
1713339781.6791039,70200,33.516822814941406
1713339811.093332,70300,30.081756591796875
1713339840.5005488,70400,31.816757202148438
1713339869.9445126,70500,30.767667770385742
1713339899.583035,70600,32.8622932434082
1713339929.1194258,70700,33.55103302001953
1713339988.0701473,70900,33.80323791503906
1713340017.623039,71000,29.501976013183594
1713340047.1364868,71100,30.96097183227539
1713340165.2742686,71500,27.61665153503418
1713340283.236848,71900,30.79652976989746
1713340312.6339374,72000,29.619327545166016
1713340371.5887647,72200,32.05887222290039
1713340401.0329983,72300,33.07545471191406
1713340430.598812,72400,32.04054260253906
1713340460.016788,72500,30.15203857421875
1713340489.4211113,72600,31.969392776489258
1713340518.9096873,72700,32.496238708496094
1713340607.5756853,73000,31.045448303222656
1713340637.085879,73100,31.36528968811035
1713340666.579129,73200,31.830486297607422
1713340814.3224738,73700,32.30747604370117
1713340873.2442768,73900,29.264759063720703
1713340902.7415152,74000,30.309612274169922
1713340932.177522,74100,34.56433868408203
1713340961.743904,74200,30.862686157226562
1713341020.6218572,74400,33.96928024291992
1713341109.1145234,74700,32.478912353515625
1713341138.6164184,74800,29.932632446289062
1713341227.924232,75100,33.80757141113281
1713341257.4411254,75200,31.50403594970703
1713341286.9504337,75300,33.69518280029297
1713341316.4293897,75400,31.715232849121094
1713341346.0790076,75500,32.08972930908203
1713341405.0682135,75700,31.292865753173828
1713341493.660695,76000,32.1956672668457
1713341523.1645913,76100,29.745285034179688
1713341582.1524353,76300,31.930587768554688
1713341670.838158,76600,30.50431251525879
1713341700.303115,76700,31.48257064819336
1713341729.7800288,76800,32.180694580078125
1713341788.8816988,77000,31.14068031311035
1713341818.32711,77100,30.435768127441406
1713341847.7460997,77200,31.626445770263672
1713341877.3742616,77300,33.74031448364258
1713341906.9072213,77400,33.15058517456055
1713341936.3946993,77500,30.06893539428711
1713341965.808129,77600,31.448917388916016
1713341995.197602,77700,33.20744705200195
1713342083.8182032,78000,33.60545349121094
1713342113.31414,78100,32.91884994506836
1713342231.4249308,78500,33.27362823486328
1713342260.8703172,78600,34.235694885253906
1713342319.9267533,78800,29.776142120361328
1713342378.8510127,79000,30.013248443603516
1713342437.8558745,79200,27.197885513305664
1713342467.2483757,79300,31.632766723632812
1713342496.7187023,79400,31.784210205078125
1713342526.2360725,79500,33.13050079345703
1713342555.8692513,79600,34.44200134277344
1713342585.4046469,79700,31.462125778198242
1713342644.4169164,79900,31.750743865966797
1713342703.5334637,80100,31.497760772705078
1713342762.3874497,80300,32.802337646484375
1713342850.9813604,80600,31.242361068725586
1713342880.4794784,80700,32.935340881347656
1713342909.9733849,80800,30.19245147705078
1713342939.6003568,80900,32.967308044433594
1713342969.1054723,81000,33.542335510253906
1713343027.9250169,81200,31.26959228515625
1713343086.9254928,81400,31.415523529052734
1713343145.8794503,81600,33.30908966064453
1713343175.263415,81700,33.3441047668457
1713343234.440047,81900,31.773805618286133
1713343322.971235,82200,30.51946449279785
1713343382.059508,82400,31.95266342163086
1713343411.536596,82500,32.615814208984375
1713343441.041265,82600,30.571651458740234
1713343529.7022378,82900,34.70928955078125
1713343618.241948,83200,29.99285888671875
1713343647.7528033,83300,30.50733757019043
1713343706.6741276,83500,33.74714660644531
1713343765.6047735,83700,32.612022399902344
1713343824.6347518,83900,33.321285247802734
1713343854.1457322,84000,31.35856819152832
1713343972.2046475,84400,33.95596694946289
1713344031.162731,84600,34.14596176147461
1713344060.6614385,84700,34.2933235168457
1713344090.0815191,84800,33.68050003051758
1713344119.5296662,84900,29.96283721923828
1713344178.535668,85100,30.80469512939453
1713344207.9128838,85200,33.71456527709961
1713344237.3932376,85300,32.529457092285156
1713344266.9295409,85400,31.264724731445312
1713344384.7850075,85800,28.941251754760742
1713344443.9404962,86000,32.547637939453125
1713344473.493776,86100,32.44329071044922
1713344503.0170178,86200,32.779659271240234
1713344532.6692533,86300,32.08495330810547
1713344562.1939406,86400,31.941452026367188
1713344680.349797,86800,31.341190338134766
1713344709.7448673,86900,34.23652648925781
1713344739.1232188,87000,32.197635650634766
1713344768.5348952,87100,31.67047882080078
1713344856.8719084,87400,31.120393753051758
1713344886.299348,87500,33.43549346923828
1713344915.6940162,87600,32.48052215576172
1713344945.2762141,87700,32.732425689697266
1713344974.806825,87800,31.571693420410156
1713345033.795103,88000,27.30913543701172
1713345063.3918161,88100,31.18192481994629
1713345092.9160812,88200,29.591005325317383
1713345122.4104877,88300,34.1220817565918
1713345181.431057,88500,28.750152587890625
1713345270.0445714,88800,32.81045150756836
1713345329.1792462,89000,32.37458038330078
1713345358.6714802,89100,30.972042083740234
1713345417.6552272,89300,32.091426849365234
1713345447.1491807,89400,33.222896575927734
1713345476.7695704,89500,33.32693099975586
1713345535.7531846,89700,31.53512191772461
1713345565.2493563,89800,30.53076171875
1713345624.4034708,90000,32.4451789855957
1713345653.8734603,90100,32.36195373535156
1713345801.4114015,90600,33.86779022216797
1713345860.5521126,90800,32.67104721069336
1713345890.0293186,90900,32.55028533935547
1713345919.5017743,91000,31.67220687866211
1713345948.9468818,91100,33.79270935058594
